fdc_id,name,calories,carbs,fat,protein
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,0.0,6.39,22.8
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,0.0,2.48,23.4
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,0.0,2.41,23.7
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,0.0,5.32,22.7
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,0.0,11.4,27.3
746764,"Carrots, frozen, unprepared",37.0,7.92,0.47,0.81
746765,"Cheese, dry white, queso seco",326.0,2.07,24.3,24.5
746766,"Cheese, ricotta, whole milk",157.0,6.86,11.0,7.81
746767,"Cheese, swiss",393.0,1.44,31.0,27.0
746768,"Figs, dried, uncooked",249.0,63.9,0.92,3.3
746769,"Lettuce, cos or romaine, raw",17.0,3.24,0.26,1.24
746770,"Melons, cantaloupe, raw",34.0,8.16,0.18,0.82
746771,"Oranges, raw, navels",47.0,11.8,0.15,0.91
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,5.18,0.95,3.38
746773,"Pears, raw, bartlett",57.0,15.1,0.16,0.38
746774,"Restaurant, Chinese, sweet and sour pork",260.0,25.5,13.6,8.88
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,4.92,0.08,3.43
746777,"Sauce, salsa, ready-to-serve",29.0,6.74,0.19,1.44
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,4.9,1.9,3.36
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,3.37,28.7,13.3
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,2.15,26.2,18.2
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,2.63,28.1,19.3
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,4.63,3.2,3.27
746783,"Sausage, turkey, breakfast links, mild, raw",169.0,0.93,10.4,16.7
746784,"Sugars, granulated",385.0,99.6,0.32,0.0
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,0.0,11.6,27.1
746952,"Ham, sliced, restaurant",121.0,2.36,3.68,19.6
747429,"Cheese, American, restaurant",375.0,6.35,31.1,17.5
747447,"Broccoli, raw",31.0,6.27,0.34,2.57
747448,"Strawberries, raw",31.0,7.63,0.22,0.64
747693,"Ketchup, restaurant",117.0,26.8,0.55,1.11
747997,"Eggs, Grade A, Large, egg white",55.0,2.36,0.0,10.7
748236,"Eggs, Grade A, Large, egg yolk",334.0,1.02,28.8,16.2
748967,"Eggs, Grade A, Large, egg whole",148.0,0.96,9.96,12.4
749420,"Pork, cured, bacon, cooked, restaurant",500.0,2.1,36.5,40.9
789890,"Flour, wheat, all-purpose, enriched, bleached",366.0,77.3,1.48,10.9
789951,"Flour, wheat, all-purpose, enriched, unbleached",358.0,73.2,1.48,13.1
790018,"Flour, wheat, all-purpose, unenriched, unbleached",362.0,74.6,1.7,12.0
790085,"Flour, whole wheat, unenriched",370.0,71.2,2.73,15.1
790146,"Flour, bread, white, enriched, unbleached",363.0,72.8,1.65,14.3
790214,"Flour, rice, white, unenriched",359.0,79.8,1.3,6.94
790276,"Flour, corn, yellow, fine meal, enriched",364.0,80.8,1.74,6.2
790577,"Onions, red, raw",44.0,9.93,0.1,0.94
790646,"Onions, yellow, raw",38.0,8.61,0.05,0.83
790774,"Bananas, overripe, raw",85.0,20.1,0.22,0.73
790991,"Bananas, ripe and slightly ripe, raw",97.0,23.0,0.29,0.74
1104647,"Garlic, raw",143.0,28.2,0.38,6.62
1104705,"Flour, soy, defatted",366.0,32.9,3.33,51.1
1104766,"Flour, soy, full-fat",452.0,27.9,20.7,38.6
1104812,"Flour, rice, brown",365.25,75.5,3.85,7.19
1104867,"Flour, rice, glutinous",358.0,80.1,1.16,6.69
1104913,"Flour, pastry, unenriched, unbleached",358.0,77.2,1.64,8.75
1104962,"Onions, white, raw",35.0,7.68,0.13,0.89
1105073,"Bananas, overripe, raw",85.0,20.1,0.22,0.73
1105314,"Bananas, ripe and slightly ripe, raw",97.0,23.0,0.29,0.74
1105430,"Apples, red delicious, with skin, raw",62.0,14.8,0.21,0.19
1105547,"Apples, honeycrisp, with skin, raw",60.0,14.7,0.1,0.1
1105664,"Apples, granny smith, with skin, raw",59.0,14.2,0.14,0.27
1105781,"Apples, gala, with skin, raw",61.0,14.8,0.15,0.13
1105897,"Apples, fuji, with skin, raw",65.0,15.7,0.16,0.15
